Year,SeqNumber,identity,Yrs_exp,Education,Top_J_Pubs,Ref_J_Pubs,Textbooks,Research_Books,Other_Pubs,Salary,Summer,summer_yrs,res_budget,move_supp,tch_load,Tenure_Req_Lvl,Tenure_Req_A,Tenure_Req_tot,Position,location,pub_prvt,Union,Country,Region,schl_deg,accredit,Accepted_ornot,Tch/Res,%_Summer,%_Budget,tot_J pubs
2000/2001,1,yes,1,Phd/DBA,NA,NA,NA,NA,NA,"$83,000","$18,300",1,"$2,000","$4,000",4,NA,NA,NA,Asst,urban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,2,NA,3,MBA/MS,NA,NA,NA,NA,NA,"$31,746",NA,NA,"$1,322",NA,15,NA,NA,NA,Instructor,urban,mixed,NA,Bahrain,NA,Masters,Local,Have accepted,Teach (>4),0,1,0
2000/2001,3,NA,8,Phd/DBA,NA,NA,NA,NA,NA,"$80,000","$6,000",3,"$2,500","$5,000",6,NA,NA,NA,assoc/not tenured,suburban,public,No,USA,US W.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,4,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$76,000","$10,000",1,"$2,000","$6,000",6,NA,NA,NA,Asst,rural,public,No,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,1,0
2000/2001,5,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$84,000","$18,800",2,"$3,000","$5,000",4,NA,NA,NA,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,6,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$85,000","$5,000",2,"$3,500","$5,000",4,NA,NA,NA,Asst,suburban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,7,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$82,500","$18,333",2,NA,"$5,000",4,NA,NA,NA,Asst,urban,private,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,8,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$75,000","$9,375",6,"$4,000","$6,000",6,NA,NA,NA,Asst,urban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,9,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$83,500","$18,500",2,"$3,900",$-,4,NA,NA,NA,Asst,urban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,10,NA,2,Phd/DBA,NA,NA,NA,NA,NA,"$83,000","$6,500",2,"$4,000","$2,500",4,NA,NA,NA,Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
