Year,#,identity,Yrs_exp,Educ.,Top J Pubs,Ref J Pubs,Textbooks,Research Books,Other Pubs,Salary,Summer,summer_yrs,res_budget,move_supp,tch_load,Tenure Req Lvl,Tenure Req #A,Tenure Req #tot,Position,location,pub_prvt,Union?,Country,Region,schl_deg,accredit.,Accepted?,Tch/Res,%_Summer,%_Budget,tot_J pubs
2000/2001,1,yes,1,Phd/DBA,,,,,," $83,000 "," $18,300 ",1," $2,000 "," $4,000 ",4,,,,Asst,urban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,2,,3,MBA/MS,,,,,," $31,746 ",,," $1,322 ",,15,,,,Instructor,urban,mixed,,Bahrain,,Masters,Local,Have accepted,Teach (>4),0,1,0
2000/2001,3,,8,Phd/DBA,,,,,," $80,000 "," $6,000 ",3," $2,500 "," $5,000 ",6,,,,assoc/not tenured,suburban,public,No,USA,US W.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,4,,2,Phd/DBA,,,,,," $76,000 "," $10,000 ",1," $2,000 "," $6,000 ",6,,,,Asst,rural,public,No,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,1,0
2000/2001,5,,2,Phd/DBA,,,,,," $84,000 "," $18,800 ",2," $3,000 "," $5,000 ",4,,,,Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,6,,2,Phd/DBA,,,,,," $85,000 "," $5,000 ",2," $3,500 "," $5,000 ",4,,,,Asst,suburban,public,Yes,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,7,,2,Phd/DBA,,,,,," $82,500 "," $18,333 ",2,," $5,000 ",4,,,,Asst,urban,private,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,8,,2,Phd/DBA,,,,,," $75,000 "," $9,375 ",6," $4,000 "," $6,000 ",6,,,,Asst,urban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,9,,2,Phd/DBA,,,,,," $83,500 "," $18,500 ",2," $3,900 ", $- ,4,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,10,,2,Phd/DBA,,,,,," $83,000 "," $6,500 ",2," $4,000 "," $2,500 ",4,,,,Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,11,,2,Phd/DBA,,,,,," $71,004 "," $5,917 ",2,," $3,000 ",6,,,,Asst,urban,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,12,,1,Phd/DBA,,,,,," $65,000 ",,," $6,500 "," $1,800 ",4,,,,Asst,urban,mixed,,Canada,,Doctorate,National,won't accept,Research (<=4),0,1,0
2000/2001,13,,2,Phd/DBA,,,,,," $76,500 "," $17,000 ",2," $4,000 "," $5,000 ",5,,,,Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,14,,0,Phd/DBA,,,,,," $77,000 "," $7,000 ",2,," $3,000 ",5,,,,Asst,urban,public,No,USA,US W.,Masters,National,might accept,Teach (>4),1,0,0
2000/2001,15,,2,Phd/DBA,,,,,," $70,000 "," $4,000 ",2,," $5,000 ",6,,,,Asst,rural,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),1,0,0
2000/2001,16,,2,Phd/DBA,,,,,," $76,000 "," $5,000 ",2,," $5,000 ",6,,,,Asst,suburban,private,No,USA,US N.E.,Masters,Regional,won't accept,Teach (>4),1,0,0
2000/2001,17,,6,Phd/DBA,,,,,," $87,500 "," $21,500 ",4," $2,500 "," $6,000 ",4,,,,switched Asst,rural,private,No,USA,US M.W.,unspecified,National,Have accepted,Research (<=4),1,1,0
2000/2001,18,yes,5,Phd/DBA,,,,,," $75,000 "," $5,000 ",1," $2,500 ",,6,,,,assoc/not tenured,suburban,private,Yes,USA,US N.E.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,19,yes,5,Phd/DBA,,,,,," $79,000 "," $8,000 ",1," $2,500 ",,6,,,,assoc/not tenured,urban,public,No,USA,US S.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,20,,1,Phd/DBA,,,,,," $77,000 "," $7,275 ",2,,,6,,,,Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,21,,1,Phd/DBA,,,,,," $90,000 "," $20,000 ",2,," $10,000 ",4,,,,Asst,urban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,22,yes,7,Phd/DBA,,,,,," $85,000 "," $14,166 ",2," $3,000 "," $3,000 ",4,,,,switched Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,23,yes,7,Phd/DBA,,,,,," $80,000 "," $8,888 ",2," $1,500 "," $4,000 ",5,,,,switched Asst,urban,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,1,0
2000/2001,24,yes,7,Phd/DBA,,,,,," $89,000 "," $19,777 ",2," $3,000 "," $2,000 ",4,,,,switched Asst,urban,public,No,USA,US M.W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,25,,1,Phd/DBA,,,,,," $90,000 "," $20,000 ",2," $6,000 "," $5,300 ",4,,,,Asst,urban,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,26,,0,Phd/DBA,,,,,," $80,000 "," $10,000 ",2,," $5,000 ",6,,,,Asst,urban,public,No,USA,US W.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,27,,0,Phd/DBA,,,,,," $90,000 "," $20,000 ",2,," $3,500 ",4,,,,Asst,rural,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,28,,1,Phd/DBA,,,,,," $95,000 "," $18,000 ",3," $7,000 "," $5,500 ",3,,,,Asst,urban,public,No,USA,US W.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,29,,5,Phd/DBA,,,,,," $82,000 "," $15,000 ",3," $2,500 "," $5,000 ",5,,,,switched Asst,suburban,private,No,USA,US S.,Masters,National,Have accepted,Teach (>4),1,1,0
2000/2001,30,,1,Phd/DBA,,,,,," $80,000 "," $17,777 ",3," $5,000 "," $6,000 ",4,,,,Asst,rural,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,31,,1,Phd/DBA,,,,,," $84,000 "," $14,000 ",2," $1,500 "," $3,000 ",4,,,,Asst,urban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,32,,1,Phd/DBA,,,,,," $79,200 "," $17,600 ",3," $2,000 "," $10,300 ",4,,,,Asst,rural,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,33,,7,Phd/DBA,,,,,," $75,000 "," $5,000 ",1,," $3,000 ",6,,,,switched Asst,urban,public,No,USA,US S.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,34,,7,Phd/DBA,,,,,," $77,000 "," $6,900 ",2,," $3,000 ",6,,,,switched Asst,urban,public,No,USA,US M.W.,Masters,National,won't accept,Teach (>4),1,0,0
2000/2001,35,,7,Phd/DBA,,,,,," $76,000 ",,,," $4,500 ",6,,,,switched Asst,suburban,public,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,36,,1,Phd/DBA,,,,,," $95,000 "," $21,111 ",3," $3,200 "," $3,000 ",4,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,37,,2,Phd/DBA,,,,,," $83,000 "," $20,000 ",2,," $2,500 ",4,,,,Asst,rural,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,38,,1,Phd/DBA,,,,,," $95,000 "," $15,000 ",3," $3,000 "," $3,000 ",4,,,,Asst,urban,public,No,USA,US W.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,39,,1,Phd/DBA,,,,,," $84,000 "," $14,000 ",2," $2,500 "," $3,000 ",4,,,,Asst,urban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,40,,1,Phd/DBA,,,,,," $85,000 "," $18,888 ",3,," $8,000 ",3.5,,,,Asst,urban,public,No,USA,US M.W.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,41,,2,Phd/DBA,,,,,," $72,500 ",,," $3,000 "," $2,500 ",6,,,,Asst,urban,private,No,USA,US M.W.,Masters,National,Have accepted,Teach (>4),0,1,0
2000/2001,42,,1,Phd/DBA,,,,,," $97,500 "," $21,500 ",2,," $3,250 ",4,,,,Asst,urban,private,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,43,,2,Phd/DBA,,,,,," $72,000 "," $6,000 ",2," $1,500 "," $2,000 ",6,,,,Asst,urban,private,No,USA,US S.,Masters,Regional,won't accept,Teach (>4),1,1,0
2000/2001,44,,2,Phd/DBA,,,,,," $77,500 "," $6,000 ",2," $2,000 "," $2,000 ",6,,,,Asst,urban,public,No,USA,US N.E.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,45,,2,Phd/DBA,,,,,," $75,000 "," $6,000 ",3," $2,000 "," $2,000 ",6,,,,Asst,urban,private,No,USA,US M.W.,Masters,National,might accept,Teach (>4),1,1,0
2000/2001,46,,2,Phd/DBA,,,,,," $96,000 "," $21,333 ",3,," $8,000 ",3,,,,switched Asst,suburban,public,No,USA,US S.,Doctorate,National,won't accept,Research (<=4),1,0,0
2000/2001,47,,2,Phd/DBA,,,,,," $95,000 "," $21,111 ",3,," $8,000 ",3,,,,switched Asst,urban,public,No,USA,US S.,Doctorate,National,Have accepted,Research (<=4),1,0,0
2000/2001,48,,2,Phd/DBA,,,,,," $93,000 "," $20,666 ",3," $3,000 "," $7,000 ",4,,,,switched Asst,urban,public,No,USA,US W.,Doctorate,National,won't accept,Research (<=4),1,1,0
2000/2001,49,,1,Phd/DBA,,,,,," $95,000 "," $19,000 ",3," $3,000 "," $4,500 ",4,,,,Asst,urban,public,No,USA,US N.E.,Doctorate,National,Have accepted,Research (<=4),1,1,0
2000/2001,50,,1,Phd/DBA,,,,,," $83,000 "," $14,755 ",3," $2,000 "," $4,000 ",4,,,,Asst,urban,public,No,USA,US S.,Doctorate,National,might accept,Research (<=4),1,1,0
2000/2001,51,,1,Phd/DBA,,,,,," $74,000 ",,," $3,000 ", $- ,8,,,,Asst,rural,public,No,USA,US M.W.,Masters,Regional,might accept,Teach (>4),0,1,0
2000/2001,52,,5,Phd/DBA,,,,,," $81,000 ",,,," $4,000 ",6,,,,switched Asst,suburban,private,No,USA,US N.E.,Masters,National,Have accepted,Teach (>4),0,0,0
2000/2001,53,,2,Phd/DBA,,,,,," $90,000 "," $19,800 ",2," $3,000 ",,4,,,,Asst,urban,public,No,USA,US N.E.,Doctorate,National,won't accept,Research (<=4),1,1,0
